INFO:root:Application Started
INFO:tornado.access:200 GET / (38.99.213.14) 11.59ms
INFO:tornado.access:200 GET /static/css/bootstrap.min.css?v=ec3bb52a00e176a7181d454dffaea219 (38.99.213.14) 2.66ms
INFO:tornado.access:200 GET /static/js/jquery.min.js?v=e071abda8fe61194711cfc2ab99fe104 (38.99.213.14) 0.67ms
INFO:tornado.access:200 GET /static/css/react-resizable-styles.css?v=9f91a8dbf4d8f7ef1399e625660405f4 (38.99.213.14) 0.55ms
INFO:tornado.access:200 GET /static/css/react-grid-layout-styles.css?v=7dc8934d2f9ac5303b8f0bb1148152a0 (38.99.213.14) 0.51ms
INFO:tornado.access:200 GET /static/css/style.css?v=61ce84007d9040f654acf9a7be6c3ea8 (38.99.213.14) 0.57ms
INFO:tornado.access:200 GET /static/js/bootstrap.min.js?v=5869c96cc8f19086aee625d670d741f9 (38.99.213.14) 0.60ms
INFO:tornado.access:200 GET /static/js/react-react.min.js?v=bca103da5b5404d93783ccf73e0e9d1e (38.99.213.14) 0.63ms
INFO:tornado.access:200 GET /static/js/react-dom.min.js?v=950495cc51ccb90612cf0fe0bb44f8f3 (38.99.213.14) 0.71ms
INFO:tornado.access:200 GET /static/fonts/layout_bin_packer?v=6c46683ed70fbb1443caf3531243836d (38.99.213.14) 0.58ms
INFO:tornado.access:200 GET /static/js/mathjax-MathJax.js?v=49565b9ce89c64da075a5a39969b366e (38.99.213.14) 0.62ms
INFO:tornado.access:200 GET /static/js/main.js?v=a8b2ac5e05493fc00a903692a57a713f (38.99.213.14) 523.74ms
INFO:tornado.access:200 GET /static/js/plotly-plotly.min.js?v=27c1bad64f6efcb002f5b8a607f1b045 (38.99.213.14) 3242.96ms
INFO:tornado.access:200 GET /static/fonts/glyphicons-halflings-regular.woff2 (38.99.213.14) 0.71ms
INFO:tornado.access:101 GET /socket (38.99.213.14) 0.54ms
INFO:root:Opened new socket from ip: 38.99.213.14
INFO:tornado.access:200 GET /favicon.png (38.99.213.14) 2.12ms
INFO:tornado.access:200 POST /env/main (38.99.213.14) 0.49ms
INFO:tornado.access:200 POST /env/main (38.99.213.14) 0.42ms
INFO:tornado.access:200 GET /extensions/MathMenu.js?V=2.7.1 (38.99.213.14) 2.21ms
INFO:tornado.access:200 GET /extensions/MathZoom.js?V=2.7.1 (38.99.213.14) 2.08ms
INFO:tornado.access:304 GET / (38.99.213.14) 2.19ms
INFO:tornado.access:304 GET /static/fonts/glyphicons-halflings-regular.woff2 (38.99.213.14) 0.60ms
INFO:tornado.access:101 GET /socket (38.99.213.14) 0.42ms
INFO:root:Opened new socket from ip: 38.99.213.14
INFO:tornado.access:304 GET /favicon.png (38.99.213.14) 2.92ms
INFO:tornado.access:200 POST /env/main (38.99.213.14) 0.51ms
INFO:tornado.access:200 POST /env/main (38.99.213.14) 0.41ms
INFO:tornado.access:304 GET /extensions/MathMenu.js?V=2.7.1 (38.99.213.14) 1.90ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.55ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.45ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.84ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.57ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.51ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.57ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.52ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.51ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.80ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.51ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.44ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.45ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.77ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.52ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.51ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.52ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.44ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.78ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.51ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.41ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.39ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.77ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.54ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.74ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.68ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.55ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.71ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.44ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.76ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.53ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.66ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.90ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.66ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.50ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.36ms
